,Accession,module,tissue_origin,kME_module,multiple_tissues,gene_symbol,entrez_ID,numb_tissues,Sign
281,10003839586.Gm50312,black,liver,,NO,Gm50312,,1,SIGNED
282,10003838028.Gm1043,black,liver,,NO,Gm1043,,1,SIGNED
283,10003843427.Zfpm2,black,liver,,NO,Zfpm2,,1,SIGNED
284,10003839147.Gm43866,black,liver,,NO,Gm43866,,1,SIGNED
285,10002929794.Olfr289-ps1,black,liver,,NO,Olfr289-ps1,,1,SIGNED
286,10003840252.Ankrd63,black,liver,,NO,Ankrd63,,1,SIGNED
287,10002925553.Gm44629,black,liver,,NO,Gm44629,,1,SIGNED
288,10002899101.Phgr1,black,liver,,NO,Phgr1,,1,SIGNED
289,10003114294.Gm26626,black,liver,,NO,Gm26626,,1,SIGNED
290,10003841704.Gm29747,black,liver,,NO,Gm29747,,1,SIGNED
291,10004033357.Olfr718-ps1,black,liver,,NO,Olfr718-ps1,,1,SIGNED
292,512000.Ftmt,black,liver,,NO,Ftmt,,1,SIGNED
293,510087.Esyt2,black,liver,,NO,Esyt2,,1,SIGNED
294,505161.Gm13563,black,liver,,NO,Gm13563,,1,SIGNED
295,10002903991.Gm42959,black,liver,,NO,Gm42959,,1,SIGNED
296,511663.Il11,black,liver,,NO,Il11,,1,SIGNED
297,516525.Serpine2,black,liver,,NO,Serpine2,,1,SIGNED
298,497789.Igf2bp3,black,liver,,NO,Igf2bp3,,1,SIGNED
299,516018.Tmem79,black,liver,,NO,Tmem79,,1,SIGNED
300,10002898492.Gm43597,black,liver,,NO,Gm43597,,1,SIGNED
301,10004036101.Vmn2r19,black,liver,,NO,Vmn2r19,,1,SIGNED
302,10003844357.B930059L03Rik,black,liver,,NO,B930059L03Rik,,1,SIGNED
303,10002916433.Chst11,black,liver,,NO,Chst11,,1,SIGNED
304,10002912425.Glb1l2,black,liver,,NO,Glb1l2,,1,SIGNED
305,10003844715.Wwc2,black,liver,,NO,Wwc2,,1,SIGNED
306,591353.Mup3,black,liver,,NO,Mup3,,1,SIGNED
307,10002923015.Gm28634,black,liver,,NO,Gm28634,,1,SIGNED
308,10002907017.Fbxw13,black,liver,,NO,Fbxw13,,1,SIGNED
309,10002916814.Gm20324,black,liver,,NO,Gm20324,,1,SIGNED
310,10003836388.Uba52-ps,black,liver,,NO,Uba52-ps,,1,SIGNED
311,511891.Gm9812,black,liver,,NO,Gm9812,,1,SIGNED
312,513100.Pate13,black,liver,,NO,Pate13,,1,SIGNED
313,593363.Plcg1,black,liver,,NO,Plcg1,,1,SIGNED
314,10002933496.Gm29678,black,liver,,NO,Gm29678,,1,SIGNED
315,10004038161.Vangl2,black,liver,,NO,Vangl2,,1,SIGNED
316,510796.Zfp141,black,liver,,NO,Zfp141,,1,SIGNED
317,519875.2700046G09Rik,black,liver,,NO,2700046G09Rik,,1,SIGNED
318,10003840478.Gm22033,black,liver,,NO,Gm22033,,1,SIGNED
319,10002908191.Btbd35f23,black,liver,,NO,Btbd35f23,,1,SIGNED
320,10004036050.Cyp27b1,black,liver,,NO,Cyp27b1,,1,SIGNED
321,10004033810.Wfikkn2,black,liver,,NO,Wfikkn2,,1,SIGNED
322,10002901489.Fndc1,black,liver,,NO,Fndc1,,1,SIGNED
323,10003839433.Mir6239,black,liver,,NO,Mir6239,,1,SIGNED
324,506928.Sike1,black,liver,,NO,Sike1,,1,SIGNED
325,502142.Gm22979,black,liver,,NO,Gm22979,,1,SIGNED
326,10003842091.Gm38144,black,liver,,NO,Gm38144,,1,SIGNED
327,10003839336.Obox6-ps1,black,liver,,NO,Obox6-ps1,,1,SIGNED
328,10002913261.4930562C15Rik,black,liver,,NO,4930562C15Rik,,1,SIGNED
329,10004033740.Vmn1r25,black,liver,,NO,Vmn1r25,,1,SIGNED
330,10002909847.Olfr1389,black,liver,,NO,Olfr1389,,1,SIGNED
331,506006.4930415H17Rik,black,liver,,NO,4930415H17Rik,,1,SIGNED
332,10002907419.Plekhm3,black,liver,,NO,Plekhm3,,1,SIGNED
333,10002903762.Dtx4,black,liver,,NO,Dtx4,,1,SIGNED
334,10003842333.4930517E14Rik,black,liver,,NO,4930517E14Rik,,1,SIGNED
