,Accession,module,tissue_origin,kME_module,multiple_tissues,gene_symbol,entrez_ID,numb_tissues,Sign
179,517921.Epb41l3,black,liver,,NO,Epb41l3,,1,UNSIGNED
180,502699.Ifngr1,black,liver,,NO,Ifngr1,,1,UNSIGNED
181,501062.Mlkl,black,liver,,NO,Mlkl,,1,UNSIGNED
182,10002944486.Arhgap30,black,liver,,NO,Arhgap30,,1,UNSIGNED
183,10002915609.Cd300ld,black,liver,,NO,Cd300ld,,1,UNSIGNED
184,500252.Gm50428,black,liver,,NO,Gm50428,,1,UNSIGNED
185,1012137.Cd52,black,liver,,NO,Cd52,,1,UNSIGNED
186,507575.Rgs10,black,liver,,NO,Rgs10,,1,UNSIGNED
187,10002678388.H2-Q5,black,liver,,NO,H2-Q5,,1,UNSIGNED
188,10003117806.Rnasel,black,liver,,NO,Rnasel,,1,UNSIGNED
189,10003118947.Tmem106a,black,liver,,NO,Tmem106a,,1,UNSIGNED
190,503805.Cmtm3,black,liver,,NO,Cmtm3,,1,UNSIGNED
191,10002919428.Tapbpl,black,liver,,NO,Tapbpl,,1,UNSIGNED
192,516633.Procr,black,liver,,NO,Procr,,1,UNSIGNED
193,10002678262.Myo1g,black,liver,,NO,Myo1g,,1,UNSIGNED
194,10002918686.Sash3,black,liver,,NO,Sash3,,1,UNSIGNED
195,510370.Prkcd,black,liver,,NO,Prkcd,,1,UNSIGNED
196,502565.Fam49b,black,liver,,NO,Fam49b,,1,UNSIGNED
197,502687.Ltb,black,liver,,NO,Ltb,,1,UNSIGNED
198,506593.Tspan13,black,liver,,NO,Tspan13,,1,UNSIGNED
199,515739.Arpc1b,black,liver,,NO,Arpc1b,,1,UNSIGNED
200,499843.Gm5548,black,liver,,NO,Gm5548,,1,UNSIGNED
201,503215.Snx20,black,liver,,NO,Snx20,,1,UNSIGNED
202,10002909449.Parp8,black,liver,,NO,Parp8,,1,UNSIGNED
203,517228.Birc3,black,liver,,NO,Birc3,,1,UNSIGNED
204,505664.Samhd1,black,liver,,NO,Samhd1,,1,UNSIGNED
