,0
"('kidney', 'SIGNED', 'turquoise')",22.973526530429936
"('kidney', 'UNSIGNED', 'blue')",24.359010197809216
"('kidney', 'UNSIGNED', 'coral2')",22.982506910561476
"('kidney', 'UNSIGNED', 'blue2')",27.439613614644504
"('kidney', 'SIGNED', 'yellow')",23.62236170610918
"('kidney', 'UNSIGNED', 'honeydew')",27.343964318003124
"('kidney', 'UNSIGNED', 'green')",23.665724016834258
"('kidney', 'UNSIGNED', 'darkolivegreen')",25.7567541494997
"('kidney', 'UNSIGNED', 'darkslateblue')",26.864467670758764
"('kidney', 'UNSIGNED', 'firebrick4')",27.094023878537715
"('kidney', 'UNSIGNED', 'darkviolet')",18.771664198547587
"('kidney', 'UNSIGNED', 'darkseagreen3')",26.4471717558204
"('kidney', 'UNSIGNED', 'grey60')",22.79203812547068
"('kidney', 'UNSIGNED', 'darkred')",25.519403054952082
"('kidney', 'UNSIGNED', 'indianred4')",27.054938856109363
"('kidney', 'UNSIGNED', 'floralwhite')",26.320845128508992
"('kidney', 'UNSIGNED', 'darkorange')",25.828972631438983
"('kidney', 'UNSIGNED', 'darkseagreen4')",23.984179816582937
"('kidney', 'UNSIGNED', 'darkmagenta')",26.893441618205376
