,tissue,network,module,glucose,weight,insulin,triglyceride,mean
324,adipose,UNSIGNED,darkorange,27,10.7,150,46.4,58.5
325,adipose,UNSIGNED,lightcoral,27.3,11,158.8,43.1,60.1
326,adipose,UNSIGNED,ivory,26.2,11.3,191.7,42,67.8
327,adipose,UNSIGNED,darkorange2,28.2,10.5,147.6,43,57.3
328,adipose,UNSIGNED,darkturquoise,25.6,10.5,166.5,46,62.1
329,adipose,UNSIGNED,grey60,26,11.1,188,46.9,68
330,adipose,UNSIGNED,honeydew1,27.3,10.6,167.4,42.5,62
331,adipose,UNSIGNED,lightcyan,24.1,10.8,177,45.7,64.4
332,adipose,UNSIGNED,darkred,25.7,11.5,167.6,44.6,62.3
333,adipose,UNSIGNED,lightgreen,26.1,9.4,132.8,43.1,52.8
334,adipose,UNSIGNED,greenyellow,23.8,10.6,133.8,37.2,51.3
335,adipose,UNSIGNED,floralwhite,24.9,11.2,171.6,47.1,63.7
336,adipose,UNSIGNED,green,20.5,9.2,119.1,33,45.4
337,adipose,UNSIGNED,indianred4,26.8,11,155,47.6,60.1
338,adipose,UNSIGNED,maroon,25.6,11.3,173.8,50.4,65.3
339,adipose,UNSIGNED,plum,27.1,11.2,179.1,42.4,64.9
340,adipose,UNSIGNED,lightyellow,25.7,10.7,166.6,40,60.8
341,adipose,UNSIGNED,mediumorchid,27,11.6,175.9,46.7,65.3
342,adipose,UNSIGNED,mediumpurple2,27,10.2,156.3,43.5,59.3
343,adipose,UNSIGNED,navajowhite2,26.6,10.9,170,45.9,63.4
344,adipose,UNSIGNED,plum1,23.7,9.7,162.2,38.9,58.6
345,adipose,UNSIGNED,lightsteelblue1,27.9,10.8,152.5,48.9,60
346,adipose,UNSIGNED,orangered4,25.2,10,166.9,39.5,60.4
347,adipose,UNSIGNED,midnightblue,25,11.5,144.9,43.7,56.3
348,adipose,UNSIGNED,orange,21.2,11.1,97.8,40.4,42.6
349,adipose,UNSIGNED,purple,24.6,9.7,129.7,41.7,51.4
350,adipose,UNSIGNED,paleturquoise,24.7,10.7,137.6,43.3,54.1
351,adipose,UNSIGNED,mediumpurple3,27.1,11,163.5,48.7,62.6
352,adipose,UNSIGNED,orangered3,27.7,11.8,124.1,47.8,52.9
353,adipose,UNSIGNED,palevioletred3,26.5,10.6,142.9,49.3,57.3
354,adipose,UNSIGNED,red,23.8,9.7,125.2,37.9,49.2
355,adipose,UNSIGNED,magenta,21.4,9.7,83.9,34.3,37.3
356,adipose,UNSIGNED,pink,20.4,9.7,125.1,30.7,46.5
357,adipose,UNSIGNED,plum2,24.3,10.6,156.9,40.5,58.1
358,adipose,UNSIGNED,skyblue2,26.7,11.3,153.7,40,57.9
