,tissue,network,module,glucose,weight,insulin,triglyceride,mean
489,kidney,UNSIGNED,lightsteelblue,23.2,11.09,180.9,38.68,63.47
490,kidney,UNSIGNED,magenta,19.77,10.62,138.73,39.11,52.06
491,kidney,UNSIGNED,mediumpurple3,26.2,11.14,157.86,45.69,60.22
492,kidney,UNSIGNED,orangered1,26.58,11.19,158.91,50.17,61.71
493,kidney,UNSIGNED,mediumpurple4,26.4,11.19,178.18,48.65,66.11
494,kidney,UNSIGNED,orangered3,26.92,11.19,178.18,50.67,66.74
495,kidney,UNSIGNED,lightpink4,26.92,11.19,178.18,50.67,66.74
496,kidney,UNSIGNED,lightgreen,20.69,11.06,177.64,38.15,61.88
497,kidney,UNSIGNED,paleturquoise,26.07,10.94,172.2,47.07,64.07
498,kidney,UNSIGNED,plum3,25.93,11.19,178.23,47.38,65.68
499,kidney,UNSIGNED,palevioletred2,27.67,10.29,149.46,44.08,57.88
500,kidney,UNSIGNED,royalblue,20.37,10.8,119.83,44.02,48.76
501,kidney,UNSIGNED,palevioletred3,19.09,10.57,135.84,37.6,50.77
502,kidney,UNSIGNED,plum1,23.69,10.62,156.61,37.01,56.98
503,kidney,UNSIGNED,skyblue,21.85,11.02,168.96,38.91,60.18
504,kidney,UNSIGNED,plum2,25.26,10.82,119.81,43.95,49.96
505,kidney,UNSIGNED,sienna3,24.16,10.48,148.86,44.92,57.11
506,kidney,UNSIGNED,skyblue1,27.12,10.71,158.67,52.41,62.23
507,kidney,UNSIGNED,saddlebrown,21.24,11.07,138.07,35.89,51.57
508,kidney,UNSIGNED,salmon4,23.92,10.82,104.65,38.11,44.37
509,kidney,UNSIGNED,purple,20.04,10.93,127.72,35.1,48.45
510,kidney,UNSIGNED,pink4,28.66,11.2,178.3,53.24,67.85
511,kidney,UNSIGNED,plum,26.93,11.12,163.52,39.16,60.18
512,kidney,UNSIGNED,salmon,17.63,10.94,169.61,32.12,57.58
513,kidney,UNSIGNED,sienna4,22.78,11.13,164.69,42.06,60.17
514,kidney,UNSIGNED,salmon2,23.65,11.23,153.98,45.84,58.68
515,kidney,UNSIGNED,pink,24.28,11.06,159.15,50.5,61.25
516,kidney,UNSIGNED,red,20.37,9.44,105.62,38.1,43.38
517,kidney,UNSIGNED,skyblue4,25.78,11.19,178.18,49.26,66.1
518,kidney,UNSIGNED,violet,21.12,11.26,126.52,45.49,51.1
519,kidney,UNSIGNED,yellow3,27.94,10.65,142.21,49.47,57.57
520,kidney,UNSIGNED,yellowgreen,24.21,11.11,170.05,40.68,61.51
521,kidney,UNSIGNED,thistle,25.64,11.19,172.83,46.3,63.99
522,kidney,UNSIGNED,thistle1,24.34,11.19,177.08,47.62,65.06
523,kidney,UNSIGNED,thistle2,27.61,11.19,177.69,48.88,66.34
524,kidney,UNSIGNED,yellow4,26.13,11.26,173.57,44.51,63.87
525,kidney,UNSIGNED,steelblue,24.93,11.16,118.75,45.23,50.02
526,kidney,UNSIGNED,skyblue2,26.07,11.19,178.18,46.88,65.58
527,kidney,UNSIGNED,white,20.71,11.14,164.86,36.21,58.23
528,kidney,UNSIGNED,skyblue3,28.46,11.19,177.64,51.29,67.14
529,kidney,UNSIGNED,tan,28,11.19,178.18,45.97,65.83
530,kidney,UNSIGNED,thistle3,26,11.19,167.44,42.48,61.78
531,kidney,UNSIGNED,yellow,17.38,10.92,107.04,29.92,41.31
532,gastroc,SIGNED,black,19.09,10.73,126.88,35.09,47.95
533,kidney,UNSIGNED,turquoise,16.58,10.17,119,32.77,44.63
534,gastroc,SIGNED,blue,20.64,9.89,97.95,39.79,42.07
535,kidney,UNSIGNED,grey,21,11.19,175.26,44.01,62.86
536,gastroc,SIGNED,darkturquoise,24.77,11.04,168.12,37.48,60.35
