,gene.id,symbol
507,511988.1810028F09Rik,1810028F09Rik
508,10002905858.Vmn1r2,Vmn1r2
509,508974.Pop1,Pop1
510,517687.Blnk,Blnk
511,515479.Phip,Phip
512,10003845144.Gm4910,Gm4910
513,10003116476.Alkbh8,Alkbh8
514,10003116154.Dyrk1b,Dyrk1b
515,502013.Syp,Syp
516,10002678405.Gm10259,Gm10259
517,10003837938.AA386476,AA386476
518,10002922528.Pnpt1,Pnpt1
519,10002912828.Kcnc2,Kcnc2
520,506975.Ndn,Ndn
521,10004033789.Taar7d,Taar7d
522,501584.Man2a1,Man2a1
523,10003836143.Rreb1,Rreb1
524,10002921130.Gm11462,Gm11462
525,10003845172.Vmn1r2,Vmn1r2
526,10003838164.BB031773,BB031773
527,10002909483.Reg3g,Reg3g
528,10002915756.Tmem119,Tmem119
529,499205.Scg5,Scg5
530,510970.Uevld,Uevld
531,10002928407.Gm17820,Gm17820
532,10003837345.Gm13604,Gm13604
533,10002900773.Serpinc1,Serpinc1
534,10002916919.Ythdf3,Ythdf3
535,509112.2310034O05Rik,2310034O05Rik
536,10003839831.Txnrd1,Txnrd1
537,508208.Dlx1,Dlx1
538,10004034578.Kbtbd12,Kbtbd12
539,10002902589.Emc7,Emc7
540,10002678693.Smarce1-ps1,Smarce1-ps1
541,10002907192.Cbln1,Cbln1
542,10002898980.Asap3,Asap3
543,10003841601.Kcnab1,Kcnab1
544,10003845394.Dnajc5,Dnajc5
545,507982.5830448L01Rik,5830448L01Rik
546,10003836562.Tjp1,Tjp1
547,10002921022.Cldn25-ps,Cldn25-ps
548,503852.Bambi,Bambi
549,10003845519.Fam174a,Fam174a
550,10004034122.Gm19410,Gm19410
551,500360.Orc5,Orc5
552,10002921132.Gm25714,Gm25714
553,10003838021.Ccdc62,Ccdc62
554,10003839666.Phldb2,Phldb2
555,509770.Rabggtb,Rabggtb
556,10002928671.Gm12637,Gm12637
557,10003835771.Ndufa11b,Ndufa11b
558,502320.Ppp1r14bl,Ppp1r14bl
559,506233.Kif5b,Kif5b
560,519100.Cmpk1,Cmpk1
561,10002935106.Gm43376,Gm43376
562,10002907945.Atp2b4,Atp2b4
563,510286.4921522P10Rik,4921522P10Rik
564,515558.Hnrnpa2b1,Hnrnpa2b1
565,10002903816.Fuom,Fuom
566,10004036768.Scn1a,Scn1a
567,10002919528.Dmac2l,Dmac2l
568,10004033212.Zfp60,Zfp60
569,503671.Tspoap1,Tspoap1
570,10003116350.Kcnj6,Kcnj6
571,10003842164.Kcnk10,Kcnk10
572,10004033537.Rpl7,Rpl7
573,516115.Gtf2i,Gtf2i
574,510478.Wnt10a,Wnt10a
575,10003840552.1700001G01Rik,1700001G01Rik
576,10004036833.Olfr164,Olfr164
577,517946.Pldi,Pldi
578,10002917594.Gm5392,Gm5392
579,10002936334.Gm13486,Gm13486
580,519418.Scg3,Scg3
581,10003838137.Zfp36l3,Zfp36l3
582,513806.Bbs5,Bbs5
583,498332.8430422H06Rik,8430422H06Rik
584,10002939971.Gm25755,Gm25755
585,10003837489.9130209A04Rik,9130209A04Rik
586,10003844824.Nav3,Nav3
587,510138.Slc30a7,Slc30a7
588,10003844629.D430036J16Rik,D430036J16Rik
589,10004035904.Defb38,Defb38
590,502406.Tnfaip1,Tnfaip1
591,10004033628.Ifitm5,Ifitm5
592,10002909926.Ust,Ust
593,10004033394.Ftsj1,Ftsj1
594,10002901845.Igsf21,Igsf21
595,506646.Amotl1,Amotl1
596,518056.4930565N06Rik,4930565N06Rik
597,10003836749.Gm23022,Gm23022
598,511279.Gm37392,Gm37392
599,10002913406.Shisa8,Shisa8
600,10002902864.Nlrp6,Nlrp6
601,10002922332.Gm10229,Gm10229
602,507367.Bhlhe40,Bhlhe40
603,10002938444.Nwd1,Nwd1
604,514392.Ipo4,Ipo4
605,10002912921.Irf2bp2,Irf2bp2
606,10002947219.Mtres1,Mtres1
607,10002909053.3110082I17Rik,3110082I17Rik
608,10002901313.Otub1,Otub1
609,520023.Ube2e1,Ube2e1
610,516648.Gm15932,Gm15932
611,10002922796.Gm34307,Gm34307
612,501006.Hpf1,Hpf1
613,10003838932.Mtcl1,Mtcl1
