,Accession,module,tissue_origin,kME_module,multiple_tissues,gene_symbol,entrez_ID,numb_tissues,Sign
295,512124.Aatf,blue,islet,,NO,Aatf,,1,UNSIGNED
296,10003843516.P4hb,blue,islet,,NO,P4hb,,1,UNSIGNED
297,516982.Gm9071,blue,islet,,NO,Gm9071,,1,UNSIGNED
298,10004033612.Luc7l2,blue,islet,,NO,Luc7l2,,1,UNSIGNED
299,10003844323.Ppp2r5e,blue,islet,,NO,Ppp2r5e,,1,UNSIGNED
300,509951.Tasor2,blue,islet,,NO,Tasor2,,1,UNSIGNED
301,498456.Nampt,blue,islet,,NO,Nampt,,1,UNSIGNED
302,504729.Ankrd10,blue,islet,,NO,Ankrd10,,1,UNSIGNED
303,10003839897.Stx16,blue,islet,,NO,Stx16,,1,UNSIGNED
304,499885.Rnf14,blue,islet,,NO,Rnf14,,1,UNSIGNED
305,10003838306.Fndc3b,blue,islet,,NO,Fndc3b,,1,UNSIGNED
306,10003838160.Rab2a,blue,islet,,NO,Rab2a,,1,UNSIGNED
307,10004033331.Top1,blue,islet,,NO,Top1,,1,UNSIGNED
308,1373548.Dut,blue,islet,,NO,Dut,,1,UNSIGNED
309,10004034942.Mtss1,blue,islet,,NO,Mtss1,,1,UNSIGNED
310,10003840021.Zfp952,blue,islet,,NO,Zfp952,,1,UNSIGNED
311,510315.Cspp1,blue,islet,,NO,Cspp1,,1,UNSIGNED
312,503555.Cfp,blue,islet,,NO,Cfp,,1,UNSIGNED
313,10003844541.Sesn3,blue,islet,,NO,Sesn3,,1,UNSIGNED
314,502692.Ccnt2,blue,islet,,NO,Ccnt2,,1,UNSIGNED
315,503596.Dgkh,blue,islet,,NO,Dgkh,,1,UNSIGNED
316,10003845024.Ubn2,blue,islet,,NO,Ubn2,,1,UNSIGNED
317,10003843235.Atp2a2,blue,islet,,NO,Atp2a2,,1,UNSIGNED
318,10003844163.C2cd2,blue,islet,,NO,C2cd2,,1,UNSIGNED
319,10002172785.Gabbr1,blue,islet,,NO,Gabbr1,,1,UNSIGNED
320,10004037836.Snrnp70,blue,islet,,NO,Snrnp70,,1,UNSIGNED
321,10004035138.Actl6a,blue,islet,,NO,Actl6a,,1,UNSIGNED
322,503593.Cwc15,blue,islet,,NO,Cwc15,,1,UNSIGNED
323,497684.BC002059,blue,islet,,NO,BC002059,,1,UNSIGNED
324,10002897838.Leng8,blue,islet,,NO,Leng8,,1,UNSIGNED
325,10003837585.Ptprs,blue,islet,,NO,Ptprs,,1,UNSIGNED
326,10002678416.Ucn2,blue,islet,,NO,Ucn2,,1,UNSIGNED
327,507064.Tubgcp4,blue,islet,,NO,Tubgcp4,,1,UNSIGNED
328,10003839103.Nup107,blue,islet,,NO,Nup107,,1,UNSIGNED
329,10004037536.Zranb1,blue,islet,,NO,Zranb1,,1,UNSIGNED
330,10003837564.Scaf4,blue,islet,,NO,Scaf4,,1,UNSIGNED
331,10003844732.Zfc3h1,blue,islet,,NO,Zfc3h1,,1,UNSIGNED
332,508680.Trabd,blue,islet,,NO,Trabd,,1,UNSIGNED
333,498736.Tanc2,blue,islet,,NO,Tanc2,,1,UNSIGNED
334,512565.Rbfox2,blue,islet,,NO,Rbfox2,,1,UNSIGNED
335,10003837700.Nrde2,blue,islet,,NO,Nrde2,,1,UNSIGNED
336,518352.Klhl24,blue,islet,,NO,Klhl24,,1,UNSIGNED
337,511462.Sf3b3,blue,islet,,NO,Sf3b3,,1,UNSIGNED
338,507833.Tardbp,blue,islet,,NO,Tardbp,,1,UNSIGNED
339,511693.Sri,blue,islet,,NO,Sri,,1,UNSIGNED
340,515846.Slc25a51,blue,islet,,NO,Slc25a51,,1,UNSIGNED
341,509752.Map1b,blue,islet,,NO,Map1b,,1,UNSIGNED
