Accession,module,tissue_origin,kME_module,multiple_tissues,transcript,gene_symbol,entrez_ID,numb_tissues
591401.0610012G03Rik,black,islet,0.601038768,NO,,0610012G03Rik,591401,1
513785.Phf7,black,islet,0.599995581,NO,,Phf7,513785,1
10004033488.Eif3j1,black,islet,0.597655641,NO,,Eif3j1,10004033488,1
500639.Rrp8,black,islet,0.596618214,NO,,Rrp8,500639,1
10002899182.Rpap2,black,islet,0.596056611,NO,,Rpap2,10002899182,1
516188.Acvr2a,black,islet,0.595860287,NO,,Acvr2a,516188,1
512593.Amd2,black,islet,0.594805545,NO,,Amd2,512593,1
10004037307.Mtmr14,black,islet,0.594577067,NO,,Mtmr14,10004037307,1
10004038180.Arfrp1,black,islet,0.594429404,NO,,Arfrp1,10004038180,1
10003839124.Nudt7,black,islet,0.594341979,NO,,Nudt7,10003839124,1
511863.Ccdc127,black,islet,0.593106722,NO,,Ccdc127,511863,1
10002903924.Gm5841,black,islet,0.591261373,NO,,Gm5841,10002903924,1
10002897509.Slc15a4,black,islet,0.591200319,NO,,Slc15a4,10002897509,1
515470.Naa30,black,islet,0.590876144,NO,,Naa30,515470,1
10002918152.1700123O20Rik,black,islet,0.590100023,NO,,1700123O20Rik,10002918152,1
516222.Tfb1m,black,islet,0.589003564,NO,,Tfb1m,516222,1
10002950161.Slitrk6,black,islet,0.588927166,NO,,Slitrk6,10002950161,1
10002173077.Tsc22d3,black,islet,0.587458259,NO,,Tsc22d3,10002173077,1
10002911321.Psma2,black,islet,0.586472904,NO,,Psma2,10002911321,1
10002913190.Amn1,black,islet,0.585573129,NO,,Amn1,10002913190,1
10002945217.Igip,black,islet,0.583989525,NO,,Igip,10002945217,1
10002951763.Arglu1,black,islet,0.583277767,NO,,Arglu1,10002951763,1
10004034069.Senp8,black,islet,0.58308543,NO,,Senp8,10004034069,1
10003842609.Asns,black,islet,0.582973913,NO,,Asns,10003842609,1
518478.Banp,black,islet,0.58241108,NO,,Banp,518478,1
10004035647.Hnrnph3,black,islet,0.581833489,NO,,Hnrnph3,10004035647,1
10002918783.Mospd2,black,islet,0.581501857,NO,,Mospd2,10002918783,1
10002902187.Them4,black,islet,0.577662822,NO,,Them4,10002902187,1
516532.Akirin2,black,islet,0.577631803,NO,,Akirin2,516532,1
512456.Ncor1,black,islet,0.577311936,NO,,Ncor1,512456,1
503658.Smim15,black,islet,0.577036374,NO,,Smim15,503658,1
10004038171.Stx18,black,islet,0.576653218,NO,,Stx18,10004038171,1
10002916317.Zbtb11,black,islet,0.57626312,NO,,Zbtb11,10002916317,1
512159.Gdf9,black,islet,0.5762391,NO,,Gdf9,512159,1
514084.Ndel1,black,islet,0.575961776,NO,,Ndel1,514084,1
10002902998.Zfp524,black,islet,0.574801985,NO,,Zfp524,10002902998,1
501568.Ociad1,black,islet,0.572357656,NO,,Ociad1,501568,1
519902.Mrpl24,black,islet,0.571751168,NO,,Mrpl24,519902,1
10002917411.Pds5b,black,islet,0.570022985,NO,,Pds5b,10002917411,1
519532.Ing4,black,islet,0.569005787,NO,,Ing4,519532,1
516027.Krr1,black,islet,0.568923461,NO,,Krr1,516027,1
10002908704.Brdt,black,islet,0.568283116,NO,,Brdt,10002908704,1
10002896907.Kat8,black,islet,0.568220931,NO,,Kat8,10002896907,1
518366.Srek1ip1,black,islet,0.567986732,NO,,Srek1ip1,518366,1
10002945513.Smarcc2,black,islet,0.566744394,NO,,Smarcc2,10002945513,1
10004036639.2810002D19Rik,black,islet,0.566651883,NO,,2810002D19Rik,10004036639,1
1017752.Sos2,black,islet,0.566645641,NO,,Sos2,1017752,1
10002916676.Ipmk,black,islet,0.565385298,NO,,Ipmk,10002916676,1
509292.A030001D20Rik,black,islet,0.565329188,NO,,A030001D20Rik,509292,1
10002913923.D030056L22Rik,black,islet,0.563469789,NO,,D030056L22Rik,10002913923,1
10004034763.9430091E24Rik,black,islet,0.562999402,NO,,9430091E24Rik,10004034763,1
10002915716.Ccdc84,black,islet,0.561524675,NO,,Ccdc84,10002915716,1
10002906985.Aars,black,islet,0.561001588,NO,,Aars,10002906985,1
10002900673.Oma1,black,islet,0.560444592,NO,,Oma1,10002900673,1
516669.Tle1,black,islet,0.558883376,NO,,Tle1,516669,1
505371.Vldlr,black,islet,0.55832577,NO,,Vldlr,505371,1
10002906231.Wdr47,black,islet,0.557040064,NO,,Wdr47,10002906231,1
10002907481.Pura,black,islet,0.556538621,NO,,Pura,10002907481,1
10002914206.Akr1e1,black,islet,0.556408591,NO,,Akr1e1,10002914206,1
502916.Ccdc51,black,islet,0.556067099,NO,,Ccdc51,502916,1
514467.Oxnad1,black,islet,0.551854721,NO,,Oxnad1,514467,1
10003837383.Gm15455,black,islet,0.551775929,NO,,Gm15455,10003837383,1
516655.Dnmt3a,black,islet,0.551737834,NO,,Dnmt3a,516655,1
505612.Ammecr1l,black,islet,0.55130651,NO,,Ammecr1l,505612,1
498150.Anapc10,black,islet,0.551273475,NO,,Anapc10,498150,1
1014024.Uimc1,black,islet,0.551032703,NO,,Uimc1,1014024,1
505987.Hsp90ab1,black,islet,0.550019809,NO,,Hsp90ab1,505987,1
501623.Ccdc6,black,islet,0.550008788,NO,,Ccdc6,501623,1
10002906206.Pikfyve,black,islet,0.549849121,NO,,Pikfyve,10002906206,1
519005.Gm11868,black,islet,0.549592386,NO,,Gm11868,519005,1
10002678839.Wwp1,black,islet,0.549529306,NO,,Wwp1,10002678839,1
518923.Snx1,black,islet,0.54890286,NO,,Snx1,518923,1
507798.Tada1,black,islet,0.548829432,NO,,Tada1,507798,1
516799.Clock,black,islet,0.548174512,NO,,Clock,516799,1
10004038012.Gm20498,black,islet,0.548124515,NO,,Gm20498,10004038012,1
10002918510.Lig4,black,islet,0.545667512,NO,,Lig4,10002918510,1
10003837672.3110083C13Rik,black,islet,0.545644595,NO,,3110083C13Rik,10003837672,1
