,Accession,module,tissue_origin,kME_module,multiple_tissues,gene_symbol,entrez_ID,numb_tissues,Sign
172,10002935898.Etnk2,black,gastroc,,NO,Etnk2,,1,SIGNED
173,513049.Gm45669,black,gastroc,,NO,Gm45669,,1,SIGNED
174,10002918161.Cyp11b1,black,gastroc,,NO,Cyp11b1,,1,SIGNED
175,10004033551.Wdr73,black,gastroc,,NO,Wdr73,,1,SIGNED
176,10002920725.Sfmbt2,black,gastroc,,NO,Sfmbt2,,1,SIGNED
177,10004037957.Uqcrq,black,gastroc,,NO,Uqcrq,,1,SIGNED
178,10003840182.4930519F16Rik,black,gastroc,,NO,4930519F16Rik,,1,SIGNED
179,10002946680.Gm23437,black,gastroc,,NO,Gm23437,,1,SIGNED
180,10002924493.Gm25681,black,gastroc,,NO,Gm25681,,1,SIGNED
181,10002898082.Syt7,black,gastroc,,NO,Syt7,,1,SIGNED
182,10002929754.Gm44100,black,gastroc,,NO,Gm44100,,1,SIGNED
183,499124.Mxd3,black,gastroc,,NO,Mxd3,,1,SIGNED
184,10002903806.Txnl4b,black,gastroc,,NO,Txnl4b,,1,SIGNED
185,10002921178.Gm13407,black,gastroc,,NO,Gm13407,,1,SIGNED
186,10003841605.Gm2345,black,gastroc,,NO,Gm2345,,1,SIGNED
187,10002905669.Rxfp3,black,gastroc,,NO,Rxfp3,,1,SIGNED
188,10004036954.4930471G03Rik,black,gastroc,,NO,4930471G03Rik,,1,SIGNED
189,10002911992.Gosr2,black,gastroc,,NO,Gosr2,,1,SIGNED
190,10002913020.6720468P15Rik,black,gastroc,,NO,6720468P15Rik,,1,SIGNED
191,10002917515.Gm20498,black,gastroc,,NO,Gm20498,,1,SIGNED
192,515162.Klk6,black,gastroc,,NO,Klk6,,1,SIGNED
193,10004036176.Gm45141,black,gastroc,,NO,Gm45141,,1,SIGNED
194,10004034075.Olfr711,black,gastroc,,NO,Olfr711,,1,SIGNED
195,10002917365.Foxl2,black,gastroc,,NO,Foxl2,,1,SIGNED
196,10003838436.Gm16385,black,gastroc,,NO,Gm16385,,1,SIGNED
197,515772.Dlx6os1,black,gastroc,,NO,Dlx6os1,,1,SIGNED
198,10004034368.Olfr1447,black,gastroc,,NO,Olfr1447,,1,SIGNED
199,10002906731.Usp30,black,gastroc,,NO,Usp30,,1,SIGNED
200,10003838670.Mypop,black,gastroc,,NO,Mypop,,1,SIGNED
201,510388.Fgf12,black,gastroc,,NO,Fgf12,,1,SIGNED
202,10002906693.Rnf212,black,gastroc,,NO,Rnf212,,1,SIGNED
203,10002930768.Gm45623,black,gastroc,,NO,Gm45623,,1,SIGNED
204,10003839693.2610307P16Rik,black,gastroc,,NO,2610307P16Rik,,1,SIGNED
205,10004033274.Tnfrsf22,black,gastroc,,NO,Tnfrsf22,,1,SIGNED
206,516130.Bad,black,gastroc,,NO,Bad,,1,SIGNED
207,10004035097.Faim2,black,gastroc,,NO,Faim2,,1,SIGNED
208,508188.St6galnac3,black,gastroc,,NO,St6galnac3,,1,SIGNED
209,10003836040.Gm6992,black,gastroc,,NO,Gm6992,,1,SIGNED
210,10002915551.Dlgap3,black,gastroc,,NO,Dlgap3,,1,SIGNED
211,10002171790.Pebp1,black,gastroc,,NO,Pebp1,,1,SIGNED
212,10002927442.Gm26983,black,gastroc,,NO,Gm26983,,1,SIGNED
213,10002898886.Cavin1,black,gastroc,,NO,Cavin1,,1,SIGNED
214,10002899556.6820408C15Rik,black,gastroc,,NO,6820408C15Rik,,1,SIGNED
215,10002926274.Gm18969,black,gastroc,,NO,Gm18969,,1,SIGNED
216,10002927352.Gm50014,black,gastroc,,NO,Gm50014,,1,SIGNED
217,10002900209.Abca17,black,gastroc,,NO,Abca17,,1,SIGNED
218,10002910536.Ccdc105,black,gastroc,,NO,Ccdc105,,1,SIGNED
219,10004036452.Olfr59,black,gastroc,,NO,Olfr59,,1,SIGNED
220,10003837772.A530046M15Rik,black,gastroc,,NO,A530046M15Rik,,1,SIGNED
221,10002900918.Gm7820,black,gastroc,,NO,Gm7820,,1,SIGNED
222,507776.Atp6v0a1,black,gastroc,,NO,Atp6v0a1,,1,SIGNED
223,10002904545.Rragb,black,gastroc,,NO,Rragb,,1,SIGNED
224,514967.Atp6ap1,black,gastroc,,NO,Atp6ap1,,1,SIGNED
225,10003836780.Gm6560,black,gastroc,,NO,Gm6560,,1,SIGNED
226,10002933455.Gm13569,black,gastroc,,NO,Gm13569,,1,SIGNED
227,503864.Bcl11a,black,gastroc,,NO,Bcl11a,,1,SIGNED
228,10002932615.Gm33299,black,gastroc,,NO,Gm33299,,1,SIGNED
229,10003118110.Rasl10b,black,gastroc,,NO,Rasl10b,,1,SIGNED
230,516104.Olfr889,black,gastroc,,NO,Olfr889,,1,SIGNED
231,10002926921.Sp3os,black,gastroc,,NO,Sp3os,,1,SIGNED
232,10004034948.4931429L15Rik,black,gastroc,,NO,4931429L15Rik,,1,SIGNED
233,10003843062.Gm31462,black,gastroc,,NO,Gm31462,,1,SIGNED
234,10003837357.Eif1-ps3,black,gastroc,,NO,Eif1-ps3,,1,SIGNED
235,10002914673.Rnf208,black,gastroc,,NO,Rnf208,,1,SIGNED
236,502469.St6galnac6,black,gastroc,,NO,St6galnac6,,1,SIGNED
237,503552.Kmt2d,black,gastroc,,NO,Kmt2d,,1,SIGNED
238,10002915375.Klhdc7b,black,gastroc,,NO,Klhdc7b,,1,SIGNED
239,519085.Hsd17b6,black,gastroc,,NO,Hsd17b6,,1,SIGNED
240,509425.Gna12,black,gastroc,,NO,Gna12,,1,SIGNED
241,511487.Gata6os,black,gastroc,,NO,Gata6os,,1,SIGNED
242,10002944344.A230077H06Rik,black,gastroc,,NO,A230077H06Rik,,1,SIGNED
243,10002678143.Ugt3a1,black,gastroc,,NO,Ugt3a1,,1,SIGNED
244,10002915733.Muc6,black,gastroc,,NO,Muc6,,1,SIGNED
245,10004033717.Npn2,black,gastroc,,NO,Npn2,,1,SIGNED
246,10002942435.1700014D04Rik,black,gastroc,,NO,1700014D04Rik,,1,SIGNED
247,10002927571.Gm49931,black,gastroc,,NO,Gm49931,,1,SIGNED
248,10003845421.Gm14089,black,gastroc,,NO,Gm14089,,1,SIGNED
249,10004034390.Evpl,black,gastroc,,NO,Evpl,,1,SIGNED
250,10002901315.Tmem235,black,gastroc,,NO,Tmem235,,1,SIGNED
251,10003114674.P2ry10b,black,gastroc,,NO,P2ry10b,,1,SIGNED
252,10004035927.Olfr12,black,gastroc,,NO,Olfr12,,1,SIGNED
253,516963.Gm32352,black,gastroc,,NO,Gm32352,,1,SIGNED
254,10002951508.Nsl1,black,gastroc,,NO,Nsl1,,1,SIGNED
255,10003836386.Gm8543,black,gastroc,,NO,Gm8543,,1,SIGNED
256,10002906378.Gm18703,black,gastroc,,NO,Gm18703,,1,SIGNED
257,10004036381.Mcc,black,gastroc,,NO,Mcc,,1,SIGNED
258,10002898594.Hyal4,black,gastroc,,NO,Hyal4,,1,SIGNED
259,498211.Nos2,black,gastroc,,NO,Nos2,,1,SIGNED
260,10004037054.Tpd52l1,black,gastroc,,NO,Tpd52l1,,1,SIGNED
261,10003840708.Gm26933,black,gastroc,,NO,Gm26933,,1,SIGNED
262,10002918594.Gm5110,black,gastroc,,NO,Gm5110,,1,SIGNED
263,511663.Il11,black,gastroc,,NO,Il11,,1,SIGNED
264,10004037488.Olfr513,black,gastroc,,NO,Olfr513,,1,SIGNED
265,10002912237.Ms4a15,black,gastroc,,NO,Ms4a15,,1,SIGNED
266,10002951266.Gm13384,black,gastroc,,NO,Gm13384,,1,SIGNED
267,10002917667.Gm9614,black,gastroc,,NO,Gm9614,,1,SIGNED
268,10004037255.Gm44137,black,gastroc,,NO,Gm44137,,1,SIGNED
