,Accession,module,tissue_origin,kME_module,multiple_tissues,gene_symbol,entrez_ID,numb_tissues,Sign
253,503546.Ess2,black,kidney,,NO,Ess2,,1,SIGNED
254,10004036506.Med1,black,kidney,,NO,Med1,,1,SIGNED
255,505391.Uhrf1bp1,black,kidney,,NO,Uhrf1bp1,,1,SIGNED
256,10002946917.Myo9a,black,kidney,,NO,Myo9a,,1,SIGNED
257,499250.Mcm3ap,black,kidney,,NO,Mcm3ap,,1,SIGNED
258,10002947186.Alkbh5,black,kidney,,NO,Alkbh5,,1,SIGNED
259,499914.2900026A02Rik,black,kidney,,NO,2900026A02Rik,,1,SIGNED
260,503525.Add1,black,kidney,,NO,Add1,,1,SIGNED
261,499967.Brd4,black,kidney,,NO,Brd4,,1,SIGNED
262,10003845250.Sike1,black,kidney,,NO,Sike1,,1,SIGNED
263,10002901924.Lrrc14,black,kidney,,NO,Lrrc14,,1,SIGNED
264,10002903299.Slc1a1,black,kidney,,NO,Slc1a1,,1,SIGNED
265,10002904970.Atg13,black,kidney,,NO,Atg13,,1,SIGNED
266,512578.Zfp746,black,kidney,,NO,Zfp746,,1,SIGNED
267,10002911028.Vgll4,black,kidney,,NO,Vgll4,,1,SIGNED
268,10002896659.4930529C04Rik,black,kidney,,NO,4930529C04Rik,,1,SIGNED
269,511150.Dennd6b,black,kidney,,NO,Dennd6b,,1,SIGNED
270,505317.Stxbp2,black,kidney,,NO,Stxbp2,,1,SIGNED
271,506463.Fam160a2,black,kidney,,NO,Fam160a2,,1,SIGNED
272,514475.Pald1,black,kidney,,NO,Pald1,,1,SIGNED
273,10004036817.1700030N03Rik,black,kidney,,NO,1700030N03Rik,,1,SIGNED
274,10002914332.Kbtbd2,black,kidney,,NO,Kbtbd2,,1,SIGNED
275,1477997.Rbl2,black,kidney,,NO,Rbl2,,1,SIGNED
276,10004033808.Slc39a3,black,kidney,,NO,Slc39a3,,1,SIGNED
277,10004035639.Alkbh4,black,kidney,,NO,Alkbh4,,1,SIGNED
278,508260.Tshz2,black,kidney,,NO,Tshz2,,1,SIGNED
279,506572.Zmym3,black,kidney,,NO,Zmym3,,1,SIGNED
280,10004036801.Slc29a2,black,kidney,,NO,Slc29a2,,1,SIGNED
281,510460.Elac2,black,kidney,,NO,Elac2,,1,SIGNED
282,10002914557.Cdk2,black,kidney,,NO,Cdk2,,1,SIGNED
283,10004036006.Mrps5,black,kidney,,NO,Mrps5,,1,SIGNED
284,509605.Wbp11,black,kidney,,NO,Wbp11,,1,SIGNED
285,503806.Col7a1,black,kidney,,NO,Col7a1,,1,SIGNED
286,504724.Slc25a1,black,kidney,,NO,Slc25a1,,1,SIGNED
287,509031.Eral1,black,kidney,,NO,Eral1,,1,SIGNED
288,10004037229.Tbc1d9b,black,kidney,,NO,Tbc1d9b,,1,SIGNED
289,512261.Ifnar1,black,kidney,,NO,Ifnar1,,1,SIGNED
290,10004036553.Manf,black,kidney,,NO,Manf,,1,SIGNED
291,10002907642.Irx2,black,kidney,,NO,Irx2,,1,SIGNED
292,503354.Rapgef2,black,kidney,,NO,Rapgef2,,1,SIGNED
293,513420.Med26,black,kidney,,NO,Med26,,1,SIGNED
294,506737.Bcl2l13,black,kidney,,NO,Bcl2l13,,1,SIGNED
295,10003844174.Sp1,black,kidney,,NO,Sp1,,1,SIGNED
296,518093.Senp6,black,kidney,,NO,Senp6,,1,SIGNED
297,10002900114.Ccdc120,black,kidney,,NO,Ccdc120,,1,SIGNED
