,Accession,module,tissue_origin,kME_module,multiple_tissues,gene_symbol,entrez_ID,numb_tissues,Sign
264,10003838713.Vmn1r2,black,kidney,,NO,Vmn1r2,,1,UNSIGNED
265,10004033405.Vmn1r-ps27,black,kidney,,NO,Vmn1r-ps27,,1,UNSIGNED
266,10002926181.Gm14219,black,kidney,,NO,Gm14219,,1,UNSIGNED
267,10004035866.Olfr504,black,kidney,,NO,Olfr504,,1,UNSIGNED
268,10002938774.Olfr860,black,kidney,,NO,Olfr860,,1,UNSIGNED
269,10003845406.D430041D05Rik,black,kidney,,NO,D430041D05Rik,,1,UNSIGNED
270,10003840540.4732471J01Rik,black,kidney,,NO,4732471J01Rik,,1,UNSIGNED
271,10004033188.Ptges3l,black,kidney,,NO,Ptges3l,,1,UNSIGNED
272,10002935636.Olfr147,black,kidney,,NO,Olfr147,,1,UNSIGNED
273,10004037137.Olfr492,black,kidney,,NO,Olfr492,,1,UNSIGNED
274,501745.Plag1,black,kidney,,NO,Plag1,,1,UNSIGNED
275,510333.Dnah2os,black,kidney,,NO,Dnah2os,,1,UNSIGNED
276,517277.Syt5,black,kidney,,NO,Syt5,,1,UNSIGNED
277,500489.Tff2,black,kidney,,NO,Tff2,,1,UNSIGNED
278,513268.Omg,black,kidney,,NO,Omg,,1,UNSIGNED
279,10002906926.Olfr1360,black,kidney,,NO,Olfr1360,,1,UNSIGNED
280,10003839100.Hmga2,black,kidney,,NO,Hmga2,,1,UNSIGNED
281,512745.4930453H23Rik,black,kidney,,NO,4930453H23Rik,,1,UNSIGNED
282,10004033395.Olfr486,black,kidney,,NO,Olfr486,,1,UNSIGNED
283,10002924138.Popdc3,black,kidney,,NO,Popdc3,,1,UNSIGNED
284,501827.Lgi1,black,kidney,,NO,Lgi1,,1,UNSIGNED
285,10003844730.Themis,black,kidney,,NO,Themis,,1,UNSIGNED
286,10002917616.Fut2,black,kidney,,NO,Fut2,,1,UNSIGNED
287,10002914565.Gm973,black,kidney,,NO,Gm973,,1,UNSIGNED
288,10002930688.1700065J18Rik,black,kidney,,NO,1700065J18Rik,,1,UNSIGNED
289,10004035185.BC035044,black,kidney,,NO,BC035044,,1,UNSIGNED
290,515772.Dlx6os1,black,kidney,,NO,Dlx6os1,,1,UNSIGNED
291,10003837044.Gm14609,black,kidney,,NO,Gm14609,,1,UNSIGNED
292,10003845358.Dennd1a,black,kidney,,NO,Dennd1a,,1,UNSIGNED
293,520018.1700022I11Rik,black,kidney,,NO,1700022I11Rik,,1,UNSIGNED
294,10003844570.4930554G24Rik,black,kidney,,NO,4930554G24Rik,,1,UNSIGNED
295,10003841657.Gm33707,black,kidney,,NO,Gm33707,,1,UNSIGNED
296,10004036397.Mrgprx3-ps,black,kidney,,NO,Mrgprx3-ps,,1,UNSIGNED
297,10004037769.Gm11769,black,kidney,,NO,Gm11769,,1,UNSIGNED
298,10002928778.Obox4-ps1,black,kidney,,NO,Obox4-ps1,,1,UNSIGNED
299,10002903911.Pnoc,black,kidney,,NO,Pnoc,,1,UNSIGNED
300,10004038054.Chat,black,kidney,,NO,Chat,,1,UNSIGNED
301,518869.Tmem217,black,kidney,,NO,Tmem217,,1,UNSIGNED
302,511941.Trim3,black,kidney,,NO,Trim3,,1,UNSIGNED
303,10004036458.Gm33696,black,kidney,,NO,Gm33696,,1,UNSIGNED
304,10002947254.Vax2os,black,kidney,,NO,Vax2os,,1,UNSIGNED
305,10002917365.Foxl2,black,kidney,,NO,Foxl2,,1,UNSIGNED
306,519849.A230006K03Rik,black,kidney,,NO,A230006K03Rik,,1,UNSIGNED
307,10004034498.Oog1,black,kidney,,NO,Oog1,,1,UNSIGNED
308,10002925279.Gm5846,black,kidney,,NO,Gm5846,,1,UNSIGNED
309,10003836804.Gm13849,black,kidney,,NO,Gm13849,,1,UNSIGNED
310,10004033969.Olfr1095,black,kidney,,NO,Olfr1095,,1,UNSIGNED
311,511123.Ptprt,black,kidney,,NO,Ptprt,,1,UNSIGNED
312,10002898594.Hyal4,black,kidney,,NO,Hyal4,,1,UNSIGNED
313,10002912234.Klhl3,black,kidney,,NO,Klhl3,,1,UNSIGNED
314,10002932695.Gm8321,black,kidney,,NO,Gm8321,,1,UNSIGNED
315,10002928343.Utp25,black,kidney,,NO,Utp25,,1,UNSIGNED
316,505306.Ikzf4,black,kidney,,NO,Ikzf4,,1,UNSIGNED
317,10002934696.Hadhb-ps,black,kidney,,NO,Hadhb-ps,,1,UNSIGNED
318,10004036195.Olfr1061,black,kidney,,NO,Olfr1061,,1,UNSIGNED
319,10002922185.Gm47806,black,kidney,,NO,Gm47806,,1,UNSIGNED
320,10002934680.Cntnap5b,black,kidney,,NO,Cntnap5b,,1,UNSIGNED
